班型,离班类型,班级标价,实际缴费金额,平均后实缴金额,标准部门(原),年级,科目,开课日期-年,开课日期-月,开课日期-日,结课日期-年,结课日期-月,结课日期-日,教学区-0,教学区-1,教学区-2,教学区-3,教学区-4,教学区-5,教学区-6,教学区-7,教学区-8,班级归属季度,离班课次,课次,授课方式,进班课次,是否报下个季度,主代课教师,是否管理者,教师教龄（月）,教师性别,所学专业,毕业院校,是否是四类人才,岗位名称,学历,学员前三季度是否报读,学员本次报读前报读过多少次本科目,学员本次报读前报读过多少次全部科目
2,0,599,0,166.333333333333,1,3,3,2020,7,20,2020,7,31,1,0,0,0,0,0,0,0,0,21,0,10,2,0,0,1,0,3.66666666666667,0,1,1,0,1,2,0,0,0
1,0,599,100,166.333333333333,1,3,2,2020,7,20,2020,7,31,1,0,0,0,0,0,0,0,0,21,0,10,2,0,0,2,1,1.56666666666667,0,2,2,0,2,2,0,0,0
2,0,599,0,124.5,1,3,1,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,3,0,14.3,0,3,3,0,3,2,0,0,0
1,0,599,249,124.5,1,3,2,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,4,0,2.3,0,4,4,0,4,2,0,0,0
2,0,599,249,124.5,1,3,1,2020,7,20,2020,7,31,0,0,1,0,0,0,0,0,0,21,0,10,2,0,0,5,0,1.8,0,5,5,1,3,2,0,0,0
2,0,599,0,124.5,1,3,3,2020,7,20,2020,7,31,0,0,1,0,0,0,0,0,0,21,0,10,2,0,1,6,0,1.56666666666667,0,6,6,0,5,2,0,0,0
2,0,1580,96,96,2,7,2,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,7,0,14.5333333333333,0,7,5,1,6,2,0,0,0
1,0,1580,96,96,2,7,1,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,8,0,9.16666666666667,0,8,7,0,7,2,0,0,0
2,0,1580,96,96,2,7,3,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,9,0,2.16666666666667,0,9,8,1,8,2,0,0,0
2,0,599,100,166.333333333333,1,3,1,2020,8,17,2020,8,28,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,10,0,14.8666666666667,0,10,9,1,3,2,0,0,0
2,0,599,399,166.333333333333,1,3,3,2020,8,17,2020,8,28,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,11,0,7.4,0,11,10,1,5,3,0,0,0
1,0,599,0,166.333333333333,1,3,2,2020,8,17,2020,8,28,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,12,1,14.9666666666667,0,12,11,0,9,2,0,0,0
2,0,599,100,166.333333333333,1,3,1,2020,8,17,2020,8,28,0,0,0,1,0,0,0,0,0,21,0,10,2,0,1,13,0,15.3,0,13,12,0,3,2,0,0,0
2,0,599,399,166.333333333333,1,3,3,2020,8,17,2020,8,28,0,0,0,1,0,0,0,0,0,21,0,10,2,0,1,14,0,2.2,0,6,13,0,1,2,0,0,0
1,0,599,0,166.333333333333,1,3,2,2020,8,17,2020,8,28,0,0,0,1,0,0,0,0,0,21,0,10,2,0,1,2,1,2.5,0,2,2,0,2,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,8,3,2020,8,14,0,0,0,0,1,0,0,0,0,21,0,10,2,0,1,15,0,1.5,0,14,14,0,5,2,0,0,0
1,0,499,0,99.5,1,1,2,2020,8,3,2020,8,14,0,0,0,0,1,0,0,0,0,21,0,10,2,0,0,16,0,1.8,0,15,15,1,4,2,0,0,0
2,0,1580,96,96,2,7,2,2020,8,14,2020,8,22,0,0,0,0,0,1,0,0,0,21,0,9,2,0,1,17,0,2.16666666666667,0,16,16,1,10,2,0,0,0
1,0,1580,96,96,2,7,1,2020,8,14,2020,8,22,0,0,0,0,0,1,0,0,0,21,0,9,2,0,1,18,0,9.8,0,8,17,1,7,3,0,0,0
1,0,1580,96,96,2,7,3,2020,8,14,2020,8,22,0,0,0,0,0,1,0,0,0,21,0,9,2,0,1,19,0,74.6333333333333,0,17,18,0,11,2,0,0,0
1,0,1580,96,96,2,7,2,2020,8,3,2020,8,13,0,0,0,0,0,0,1,0,0,21,0,9,2,0,0,20,0,30.9666666666667,0,18,19,1,10,2,0,0,0
1,0,1580,96,96,2,7,1,2020,8,3,2020,8,13,0,0,0,0,0,0,1,0,0,21,0,9,2,0,0,21,0,30.9666666666667,1,19,20,0,12,2,0,0,0
1,0,1580,96,96,2,7,3,2020,8,3,2020,8,13,0,0,0,0,0,0,1,0,0,21,0,9,2,0,0,22,0,14.1666666666667,1,20,8,1,8,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,8,3,2020,8,14,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,23,0,2.26666666666667,0,21,21,1,1,3,0,0,0
1,0,499,0,99.5,1,1,2,2020,8,3,2020,8,14,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,24,0,2.03333333333333,0,22,22,0,13,2,0,0,0
2,0,599,249,124.5,1,3,3,2020,8,17,2020,8,28,0,0,1,0,0,0,0,0,0,21,0,10,2,0,0,25,0,2.03333333333333,0,23,23,0,5,2,0,0,0
1,0,599,0,124.5,1,3,2,2020,8,17,2020,8,28,0,0,1,0,0,0,0,0,0,21,0,10,2,0,1,26,0,2.03333333333333,1,24,24,0,4,2,0,0,0
2,0,1580,33,33,2,7,2,2020,7,20,2020,7,30,0,0,1,0,0,0,0,0,0,21,0,9,2,0,1,27,0,1.83333333333333,0,23,25,0,14,2,0,0,0
2,0,1580,33,33,2,7,1,2020,7,20,2020,7,30,0,0,1,0,0,0,0,0,0,21,0,9,2,0,1,28,0,1.33333333333333,0,25,26,1,12,2,0,0,0
2,0,1580,33,33,2,7,3,2020,7,20,2020,7,30,0,0,1,0,0,0,0,0,0,21,0,9,2,0,1,29,0,1.83333333333333,0,6,5,1,11,2,0,0,0
2,0,599,0,124.5,1,3,3,2020,7,20,2020,7,31,0,0,0,0,0,0,1,0,0,21,0,10,2,0,1,30,0,1.56666666666667,0,26,3,0,1,2,0,0,0
1,0,599,249,124.5,1,3,2,2020,7,20,2020,7,31,0,0,0,0,0,0,1,0,0,21,0,10,2,0,1,31,0,13.8333333333333,0,27,22,0,4,2,0,0,0
2,0,599,0,166.333333333333,1,3,1,2020,8,3,2020,8,14,0,0,0,0,1,0,0,0,0,21,0,10,2,0,0,32,0,2.3,0,8,27,1,3,3,0,0,0
2,0,599,399,166.333333333333,1,3,3,2020,8,3,2020,8,14,0,0,0,0,1,0,0,0,0,21,0,10,2,0,1,25,0,1.56666666666667,0,23,23,0,5,2,0,0,0
1,0,599,100,166.333333333333,1,3,2,2020,8,3,2020,8,14,0,0,0,0,1,0,0,0,0,21,0,10,2,0,0,33,0,14.4,0,28,15,1,4,2,0,0,0
2,0,599,0,124.5,1,3,3,2020,7,20,2020,7,31,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,34,0,1.33333333333333,0,17,28,1,5,2,0,0,0
1,0,599,249,124.5,1,3,2,2020,7,20,2020,7,31,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,35,0,1.33333333333333,0,4,29,1,13,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,8,17,2020,8,28,0,0,0,0,0,0,1,0,0,21,0,10,2,0,0,36,0,2.2,0,17,11,0,1,2,0,0,0
1,0,499,0,99.5,1,1,2,2020,8,17,2020,8,28,0,0,0,0,0,0,1,0,0,21,0,10,2,0,0,37,0,2.76666666666667,0,29,5,1,4,2,0,0,0
2,0,599,399,166.333333333333,1,3,1,2020,8,17,2020,8,28,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,38,0,9.2,0,30,30,1,3,3,0,0,0
2,0,599,100,166.333333333333,1,3,3,2020,8,17,2020,8,28,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,39,0,2.73333333333333,0,31,5,1,5,2,0,0,0
1,0,599,0,166.333333333333,1,3,2,2020,8,17,2020,8,28,0,0,0,0,0,0,0,1,0,21,0,10,2,0,0,35,0,2.26666666666667,0,4,29,1,13,2,0,0,0
2,0,1580,96,96,2,7,2,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,40,0,14.0666666666667,0,32,31,1,10,2,0,0,0
2,0,1580,96,96,2,7,1,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,41,0,2.66666666666667,0,22,5,1,12,2,0,0,0
2,0,1580,96,96,2,7,3,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,42,0,14.7,0,33,29,1,8,2,0,0,0
2,0,599,399,166.333333333333,1,3,1,2020,7,20,2020,7,31,0,0,0,0,0,0,0,0,1,21,0,10,2,0,0,32,0,1.83333333333333,0,8,27,1,3,3,0,0,0
2,0,599,100,166.333333333333,1,3,3,2020,7,20,2020,7,31,0,0,0,0,0,0,0,0,1,21,0,10,2,0,0,43,0,1.56666666666667,0,34,6,0,5,2,0,0,0
1,0,599,0,166.333333333333,1,3,2,2020,7,20,2020,7,31,0,0,0,0,0,0,0,0,1,21,0,10,2,0,0,26,0,1.1,1,24,24,0,4,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,8,3,2020,8,14,0,0,0,0,0,0,0,0,1,21,0,10,2,0,0,44,0,1.8,0,35,3,0,1,2,0,0,0
1,0,499,0,99.5,1,1,2,2020,8,3,2020,8,14,0,0,0,0,0,0,0,0,1,21,0,10,2,0,0,45,0,1.8,0,36,31,1,13,2,0,0,0
2,0,599,249,124.5,1,3,3,2020,7,20,2020,7,31,0,0,0,0,0,0,1,0,0,21,0,10,2,0,1,30,0,1.56666666666667,0,26,3,0,1,2,0,0,0
1,0,599,0,124.5,1,3,2,2020,7,20,2020,7,31,0,0,0,0,0,0,1,0,0,21,0,10,2,0,1,31,0,13.8333333333333,0,27,22,0,4,2,0,0,0
2,0,599,0,124.5,1,3,1,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,3,0,14.3,0,3,3,0,3,2,0,0,0
1,0,599,249,124.5,1,3,2,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,4,0,2.3,0,4,4,0,4,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,8,17,2020,8,28,0,0,0,0,0,0,1,0,0,21,0,10,2,0,0,36,0,2.2,0,17,11,0,1,2,0,0,0
1,0,499,0,99.5,1,1,2,2020,8,17,2020,8,28,0,0,0,0,0,0,1,0,0,21,0,10,2,0,0,37,0,2.76666666666667,0,29,5,1,4,2,0,0,0
2,0,499,199,99.5,1,1,3,2020,7,20,2020,7,31,0,0,0,1,0,0,0,0,0,21,0,10,2,0,0,46,0,1.83333333333333,0,12,11,0,5,2,0,0,0
1,0,499,0,99.5,1,1,2,2020,7,20,2020,7,31,0,0,0,1,0,0,0,0,0,21,0,10,2,0,0,37,0,1.83333333333333,0,29,5,1,4,2,0,0,0
2,0,1580,96,96,2,7,2,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,47,0,14.3,0,37,31,1,6,3,0,0,0
1,0,1580,96,96,2,7,1,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,48,0,14.7666666666667,0,8,9,1,7,2,0,0,0
2,0,1580,96,96,2,7,3,2020,8,14,2020,8,22,0,0,0,0,0,0,0,1,0,21,0,9,2,0,0,49,0,14.5333333333333,0,17,9,1,8,2,0,0,0
2,0,599,100,166.333333333333,1,3,1,2020,8,17,2020,8,28,1,0,0,0,0,0,0,0,0,21,0,10,2,0,1,50,0,2.73333333333333,0,17,5,1,3,2,0,0,0
2,0,599,399,166.333333333333,1,3,3,2020,8,17,2020,8,28,1,0,0,0,0,0,0,0,0,21,0,10,2,0,1,51,0,2.5,0,6,32,0,5,2,0,0,0
1,0,599,0,166.333333333333,1,3,2,2020,8,17,2020,8,28,1,0,0,0,0,0,0,0,0,21,0,10,2,0,1,52,0,2.66666666666667,0,6,5,1,13,2,0,0,0
2,0,499,0,99.5,1,1,3,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,36,0,1.73333333333333,0,17,11,0,1,2,0,0,0
1,0,499,199,99.5,1,1,2,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,53,0,14.3,0,38,22,0,4,2,0,0,0
